id,likes,date,text
1.9019546769474028e+18,1,2025-03-18,"AI tools that I use most to create and edit images: Creation of realistic and creative images: 1.ImageFX (Google) – In my opinion, it’s the best, and the one I use the most. 2.Grok 3 – Ideal for generating specific images, like famous people or company logos. 3.DALL-E 3 (ChatGPT) – I find it weak compared to the others, rarely use it. Image Editing: 1.Gemini 2.0 Flash experimental (AI Studio) – Recently launched multimodal model that generates and edits images natively. Excellent!"
1.8957091990632696e+18,0,2025-03-01,Unpopular opinion: Grok 3 &gt; Claude 3.7
1.8965130397735985e+18,4,2025-03-03,Personal opinion. AI such as Grok 3 is causing a massive paradigm shift in the way we search for information. Get ready to be blown away!
1.8958210432244657e+18,20,2025-03-01,Unpopular Opinion: Grok 3 is miles ahead of all other AI models.
1.889791389468177e+18,1,2025-02-12,"grok 3 is gonna understand irony and it'll say like """"this user is sharing a strong opinion on frozen waffle brands even though he is in his 30s, touching on themes of aging, nostalgia, and arrested development"""" it's going to suck shit still but it'll be different"
1.893373742115619e+18,0,2025-02-22,"I did something interesting on Grok 3. I decided to put it to the test because I am of the opinion that neither Oneness nor Trinitarians are biblically accurate. I gave Grok the parameters of interpretation ie scripture interprets scripture, categories of scripture (fact, probability, possibility, false doctrine) etc then also gave him my theory of the Godhead. I think having a machine with super intelligence is important to this argument because it has no loyalty to a particular doctrine. Most doctrines, in my opinion, have become idols and it renders people unteachable on both sides. No, there is no Trinity in the word and no, Jesus is not a blob of flesh that I AM filled. If you like, I will copy and paste my discussion with Grok somewhere. I think you will find it interesting. I was both surprised and pleased with the results. In a matter of seconds, things that would take me hours and days to unravel, Grok 3 made it a real time saver."
1.894224475207369e+18,0,2025-02-25,"Grok 3 is the undisputed leader of AIs in systems thinking. There can be arguments and counterarguments about its other abilities, but in my opinion, no other AI comes close to Grok 3 when it comes to systems thinking."
1.9008063892172849e+18,1,2025-03-15,"Maybe an unpopular opinion, but I actually think Grok 3 is the best at writing stable code. Claude is hit or miss and Gemini is great at explaining, but Grok really gets into it."
1.892689297473446e+18,0,2025-02-20,What’s the opinion on Grok 3
1.8925574115561477e+18,39,2025-02-20,Grok 3 The world's smartest and fastest AI.. What is your opinion?
1.893111272217932e+18,1,2025-02-22,Grok 3 has 100% exceeded my highest expectations.
1.897441650995008e+18,16,2025-03-06,"I would like to introduce 7 reasons why in my opinion, Grok 3 is going to change the world.... Grok 3, developed by xAI, emerges as a remarkable innovation that redefines what AI can achieve. Built on a colossal infrastructure of 200,000 Nvidia H100 GPUs, this third generation model from Elon Musk’s AI venture harnesses extraordinary computational power to deliver speed, precision, and depth in a way that feels both cutting-edge and practical. 1). Sophisticated Reasoning Capabilities: Grok 3 introduces unique reasoning modes Think Mode and Big Brain Mode that elevate its problem-solving prowess. Think Mode dissects intricate queries into digestible steps, offering clarity for users, while Big Brain Mode tackles more formidable challenges with strategic depth, making it a versatile companion for complex tasks. BOOKMARK THIS 2). Real Time Insights from X: Unlike many AI models, Grok 3 taps into the dynamic pulse of the X platform (formerly Twitter) and the web, pulling real-time data to provide answers that reflect the latest developments. This integration ensures its responses are not just accurate but also immediately relevant. 3). Blazing Speed: Time is critical, and Grok 3 delivers most responses clock in at under five seconds. This efficiency makes it an indispensable tool for professionals who need rapid, reliable answers without compromise. 4). Grok 3 shines in logic driven domains, posting impressive results in benchmarks like MATHCOUNTS and GSM Hard. Its ability to swiftly unravel a tricky geometry problem faster than a human expert underscores its analytical strength. Beyond raw scores, it offers detailed, step by step breakdowns, empowering users to not just receive answers but understand the “why” behind them. (What Sets Grok 3 Apart from others) 5). A Window into Real-Time Knowledge: Its seamless connection to X gives Grok 3 an edge in delivering insights tied to the moment, whether it’s breaking news or emerging trends think of it as an AI with its finger on the world’s pulse. 6.) Neutral and Curious by Design: In an era where AI bias is a concern, Grok 3 strives for political neutrality, presenting information with an inquisitive tone rather than a prescriptive one. This authenticity resonates with users seeking unfiltered perspectives. 7). Transparency in Action: The thought process displays a feature that reveals how Grok 3 reaches its conclusions offers a rare glimpse into its logic, fostering trust and engagement in a way few models do. Grok 3 isn’t static; xAI’s commitment to ongoing updates signals a future where its capabilities will only grow. Its potential to transform enterprise workflows think data synthesis for decision-making or real time analytics hints at a broader impact yet to unfold. IF YOU ARENT USING GROK 3 DAILY YOU ARE WASTING TIME"
1.898822388772676e+18,0,2025-03-09,Opinion: Found Grok 3 to be better in writing/redrafting than GPT 4.5 (Using Think Mode) Using same prompt on both for last 10 days. Tested approx 50 real life scenarios.
1.895745979569312e+18,4,2025-03-01,In my honest opinion Grok 3 is not so different from the other LLMs I think it's over hyped What's your thoughts on this?
1.8934113212253512e+18,0,2025-02-22,"This shows balls, apparently grok 3 doesn’t has a good opinion on Elon and Trump. 👍"
1.8932757318088911e+18,276,2025-02-22,Give your opinion on Grok 3 version?
1.8928995550766287e+18,1,2025-02-21,Grok 3 is way better than Gemini in my opinion.
1.8927068925661512e+18,1,2025-02-20,I'm using Grok 3 and it's amazing! Congrats to Elon and all the team. Way better than ChatGPT in my opinion
1.8938932752006843e+18,4,2025-02-24,"Controversial Opinion (at least on X it seems) Grok 3 is NOT AGI. It will likely be leapfrogged this week by GPT 4.5, which also won't be AGI."
1.8997948057706624e+18,3,2025-03-12,"[USER] I’d argue that Grok 3 is even better than o1 pro. Nothing compares to Grok 3 at this point, in my opinion."
1.8927165795965133e+18,0,2025-02-20,Do you think Grok 3 is better than other AI models? Want to know your opinion. [HASHTAG] [HASHTAG]
1.8927951694994355e+18,1,2025-02-21,I tried grok 3 beta but in my opinion it is not make sense because free is good enough for users who are not taking work from ai in my case I not taking work from it so it is my opinion I not like paid plan of grok which I get is grok 3 beta [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG]
